0	0
1	2797
2	3304
3	4523
4	7926
5	8061
6	19403
7	19560
8	21077
9	21280
10	21793
11	21799
12	22038
13	23175
14	23263
15	23553
16	23646
17	23652
18	23712
19	23813
20	24004
21	24076
22	24275
23	24522
24	24710
25	25325
26	25424
27	25431
28	25503
29	25597
30	25608
31	25654
32	25656
33	25811
34	25870
35	25991
36	25991
37	26225
38	26272
39	26402
40	26484
41	26872
42	27094
43	27119
44	27133
45	27145
46	27176
47	27187
48	27235
49	27254
50	27343
51	27362
52	27408
53	27492
54	27598
55	27689
56	27718
57	27822
58	28102
59	28137
60	28150
61	28193
62	28260
63	28326
64	28393
65	28544
66	28555
67	28632
68	28784
69	28792
70	29181
71	29445
72	29586
73	29670
74	29693
75	29736
76	29768
77	29824
78	29864
79	29871
80	29928
81	29929
82	29998
83	30000
84	30009
85	30072
86	30076
87	30105
88	30114
89	30153
90	30274
91	30276
92	30281
93	30392
94	30463
95	30470
96	30512
97	30668
98	30698
99	30809
100	30899
101	30932
102	30953
103	30970
104	30981
105	31082
106	31085
107	31232
108	31258
109	31286
110	31307
111	31335
112	31347
113	31377
114	31435
115	31461
116	31471
117	31491
118	31576
119	31652
120	31682
121	31721
122	31773
123	31940
124	32006
125	32126
126	32180
127	32305
128	32636
129	32748
130	32765
131	32901
132	32914
133	32993
134	33017
135	33058
136	33082
137	33127
138	33315
139	33352
140	33375
141	33383
142	33408
143	33417
144	33424
145	33434
146	33526
147	33541
148	33587
149	33645
150	33650
151	33869
152	33901
153	33938
154	34082
155	34085
156	34128
157	34225
158	34252
159	34358
160	34371
161	34383
162	34500
163	34502
164	34531
165	34566
166	34573
167	34624
168	34713
169	35023
170	35166
171	35224
172	35380
173	35388
174	35420
175	35641
176	35731
177	35739
178	35995
179	36092
180	36324
181	36346
182	36473
183	36573
184	36632
185	36666
186	36669
187	36686
188	36745
189	36768
190	36838
191	36915
192	36941
193	36963
194	37079
195	37090
196	37104
197	37139
198	37159
199	37162
200	37243
201	37277
202	37321
203	37399
204	37414
205	37417
206	37651
207	37684
208	37709
209	37826
210	37845
211	37862
212	37939
213	38045
214	38089
215	38131
216	38148
217	38249
218	38285
219	38287
220	38297
221	38315
222	38339
223	38372
224	38405
225	38424
226	38433
227	38452
228	38467
229	38503
230	38530
231	38549
232	38556
233	38580
234	38598
235	38609
236	38624
237	38708
238	38710
239	38721
240	38779
241	38849
242	38862
243	38886
244	38979
245	39090
246	39106
247	39144
248	39156
249	39208
250	39419
251	39437
252	39458
253	39597
254	39616
255	39747
256	39757
257	39759
