1	2011-02-18 21:26:16+00:00
2	2011-03-02 13:59:51+00:00
3	2011-03-03 21:29:00+00:00
4	2011-03-15 02:39:31+00:00
5	2011-03-27 11:49:44+00:00
6	2011-04-11 08:04:59+00:00
7	2011-05-01 13:07:51+00:00
8	2011-05-04 15:50:44+00:00
9	2011-05-23 19:10:03+00:00
10	2011-05-27 15:56:11+00:00
11	2011-06-04 08:14:59+00:00
12	2011-06-06 23:55:00+00:00
13	2011-06-13 12:30:05+00:00
14	2011-06-21 16:16:24+00:00
15	2011-06-22 17:12:42+00:00
16	2011-06-23 14:05:34+00:00
17	2011-06-26 17:03:44+00:00
18	2011-07-05 06:03:44+00:00
19	2011-07-07 02:33:31+00:00
20	2011-07-13 23:30:39+00:00
21	2011-07-16 22:04:13+00:00
22	2011-07-19 09:44:09+00:00
23	2011-07-20 17:33:43+00:00
24	2011-08-06 14:02:44+00:00
25	2011-08-15 19:53:55+00:00
26	2011-08-17 13:36:11+00:00
27	2011-08-31 17:36:26+00:00
28	2011-09-01 06:43:23+00:00
29	2011-09-05 07:52:17+00:00
30	2011-09-09 14:59:59+00:00
31	2011-09-12 08:23:02+00:00
32	2011-09-12 09:45:02+00:00
33	2011-09-19 04:19:30+00:00
34	2011-09-27 13:58:39+00:00
35	2011-10-11 09:04:56+00:00
36	2011-10-17 07:51:59+00:00
37	2011-10-19 07:34:19+00:00
38	2011-10-20 09:50:58+00:00
39	2011-10-20 13:51:16+00:00
40	2011-10-31 11:36:49+00:00
41	2011-11-03 19:15:56+00:00
42	2011-11-05 14:27:11+00:00
43	2011-11-09 16:34:55+00:00
44	2011-11-16 12:35:01+00:00
45	2011-11-28 14:45:01+00:00
46	2011-12-05 03:42:07+00:00
47	2011-12-06 00:45:28+00:00
48	2011-12-11 04:00:57+00:00
49	2011-12-12 22:33:55+00:00
50	2011-12-20 08:52:56+00:00
51	2011-12-20 15:21:26+00:00
52	2011-12-22 08:07:56+00:00
53	2011-12-22 13:50:46+00:00
54	2012-01-01 09:05:33+00:00
55	2012-01-03 11:29:17+00:00
56	2012-01-24 04:09:54+00:00
57	2012-02-01 21:36:40+00:00
58	2012-02-07 02:27:55+00:00
59	2012-02-14 16:12:09+00:00
60	2012-02-14 16:41:17+00:00
61	2012-02-14 16:41:17+00:00
62	2012-02-14 16:41:17+00:00
63	2012-02-14 16:41:17+00:00
64	2012-02-14 16:41:17+00:00
65	2012-02-14 16:41:17+00:00
66	2012-02-14 16:41:17+00:00
67	2012-02-14 16:41:17+00:00
68	2012-02-17 11:59:55+00:00
69	2012-02-20 22:02:16+00:00
70	2012-02-25 20:23:37+00:00
71	2012-02-29 10:09:26+00:00
72	2012-03-02 13:12:03+00:00
73	2012-03-02 19:20:42+00:00
74	2012-03-02 20:58:11+00:00
75	2012-03-07 20:31:17+00:00
76	2012-03-15 11:17:56+00:00
77	2012-03-15 11:17:56+00:00
78	2012-03-15 11:17:56+00:00
79	2012-03-15 11:17:56+00:00
80	2012-03-15 11:17:56+00:00
81	2012-03-20 17:49:56+00:00
82	2012-03-23 06:11:24+00:00
83	2012-03-25 10:01:01+00:00
